quality_grade,observed_on_details.month,observed_on_details.year,taxon.name,taxon.observations_count,user.observations_count,Atlanta,Size_mm,Bright_Colors,Contrasting_markings,Diurnal,Unique_Morphology,Web_Decoration,Web_Size (rough),Seasonal_Peak,Polymorphic
1,11,2022,Neoscona domiciliorum,3944,4975,Not Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
0,11,2022,Neoscona crucifera,24246,913,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,70,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavipes,27897,9149,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,913,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,3031,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,267,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,1445,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
0,11,2022,Neoscona domiciliorum,3944,36,Not Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Araneus marmoreus,12332,5102,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,20,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,4,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,3,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavipes,27897,12250,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,16,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,7857,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,7857,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,7857,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
0,11,2022,Araneus marmoreus,12332,6,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,5,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Verrucosa arenata,7235,1160,Not Atlanta,7.83,yes,yes,yes,yes,no,medium,Fall,no
1,11,2022,Trichonephila clavata,6803,18,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Verrucosa arenata,7235,1160,Not Atlanta,7.83,yes,yes,yes,yes,no,medium,Fall,no
1,11,2022,Verrucosa arenata,7235,1160,Not Atlanta,7.83,yes,yes,yes,yes,no,medium,Fall,no
1,11,2022,Araneus marmoreus,12332,2,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,5102,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,1870,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavipes,27897,250,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
0,11,2022,Larinioides cornutus,10284,13817,Not Atlanta,10.25,no,no,no,no,no,medium,Summer,no
1,11,2022,Neoscona domiciliorum,3944,264,Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Neoscona crucifera,24246,20,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,3412,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Argiope aurantia,52594,13817,Not Atlanta,23.75,yes,yes,yes,no,yes,large,Fall,no
1,11,2022,Trichonephila clavata,6803,13817,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Argiope trifasciata,18013,13817,Not Atlanta,20,yes,yes,yes,no,yes,large,Fall,no
1,11,2022,Araneus marmoreus,12332,5,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,1285,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,44,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Neoscona domiciliorum,3944,609,Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Neoscona crucifera,24246,88,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Gasteracantha cancriformis,24494,1160,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,11,2022,Trichonephila clavata,6803,412,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,637,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,88,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,412,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavipes,27897,173,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,7857,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
0,11,2022,Neoscona crucifera,24246,17,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,43,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,2,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,2,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,17,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,17,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,17,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavipes,27897,130,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,237,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,11,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,2469,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Verrucosa arenata,7235,13817,Not Atlanta,7.83,yes,yes,yes,yes,no,medium,Fall,no
1,11,2022,Araneus marmoreus,12332,361,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,9,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,2900,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,25,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Micrathena mitrata,1855,13817,Not Atlanta,6.18,yes,yes,yes,yes,no,medium,Fall,no
0,11,2022,Neoscona crucifera,24246,38,Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,6889,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,2900,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Argiope aurantia,52594,138,Atlanta,23.75,yes,yes,yes,no,yes,large,Fall,no
1,11,2022,Neoscona crucifera,24246,285,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,707,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Neoscona domiciliorum,3944,215,Not Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Trichonephila clavata,6803,175,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Gasteracantha cancriformis,24494,119,Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,11,2022,Micrathena mitrata,1855,3447,Not Atlanta,6.18,yes,yes,yes,yes,no,medium,Fall,no
1,11,2022,Trichonephila clavata,6803,746,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,15,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Verrucosa arenata,7235,357,Not Atlanta,7.83,yes,yes,yes,yes,no,medium,Fall,no
1,11,2022,Trichonephila clavata,6803,87,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,135,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
0,11,2022,Neoscona crucifera,24246,913,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Mangora placida,1848,7857,Not Atlanta,3.45,yes,yes,yes,no,no,small,Summer,no
1,11,2022,Araneus marmoreus,12332,11541,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavipes,27897,11541,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,168,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Araneus marmoreus,12332,196,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
0,11,2022,Neoscona crucifera,24246,13549,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,5102,Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
0,11,2022,Larinioides cornutus,10284,119,Atlanta,10.25,no,no,no,no,no,medium,Summer,no
0,11,2022,Neoscona crucifera,24246,1445,Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,4,Not Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Neoscona domiciliorum,3944,784,Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Gasteracantha cancriformis,24494,151,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,11,2022,Trichonephila clavata,6803,85,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Araneus marmoreus,12332,85,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Neoscona domiciliorum,3944,3031,Not Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Trichonephila clavata,6803,43,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
0,11,2022,Neoscona crucifera,24246,1076,Not Atlanta,14.3,yes,no,no,no,no,large,Fall,no
0,11,2022,Gasteracantha cancriformis,24494,275,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,11,2022,Araneus marmoreus,12332,3405,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Gasteracantha cancriformis,24494,292,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,11,2022,Trichonephila clavipes,27897,292,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,639,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Neoscona domiciliorum,3944,1869,Not Atlanta,11.6,no,yes,no,no,no,large,Fall,yes
1,11,2022,Araneus marmoreus,12332,84,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
0,11,2022,Neoscona crucifera,24246,265,Atlanta,14.3,yes,no,no,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,524,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,20,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Verrucosa arenata,7235,203,Not Atlanta,7.83,yes,yes,yes,yes,no,medium,Fall,no
1,11,2022,Trichonephila clavata,6803,73,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Gasteracantha cancriformis,24494,913,Not Atlanta,8.13,yes,yes,yes,yes,yes,large,Fall,no
1,11,2022,Araneus marmoreus,12332,51,Atlanta,13.5,yes,yes,yes,no,no,medium,Fall,yes
1,11,2022,Trichonephila clavata,6803,17,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavata,6803,17,Not Atlanta,22.38,yes,yes,yes,no,no,large,Fall,no
1,11,2022,Trichonephila clavipes,27897,2091,Not Atlanta,28.25,yes,yes,yes,yes,no,large,Fall,no
